Order ID,Customer ID,Item,Price,Quantity,Order Total,Order Date,Item_Encoded,Category_Drinks,Category_Main Dishes,Category_Side Dishes,Category_Starters,Payment Method_Credit Card,Payment Method_Digital Wallet
ORD_705844,CUST_092,Side Salad,3,1,3,12/21/2023,21,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
ORD_338528,CUST_021,Mashed Potatoes,4,3,12,5/19/2023,15,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ORD_443849,CUST_029,Grilled Chicken,15,4,60,9/27/2023,10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ORD_630508,CUST_075,Pasta Alfredo,6.586324889,2,5,8/9/2022,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
ORD_648269,CUST_031,Pasta Alfredo,12,4,48,5/15/2022,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ORD_381680,CUST_031,Salmon,18,5,90,7/20/2022,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
ORD_270994,CUST_071,Garlic Bread,4,5,20,8/19/2022,9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
ORD_146656,CUST_077,Pasta Alfredo,15,3,45,2/15/2023,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ORD_428611,CUST_083,Pasta Alfredo,6,2,12,12/16/2023,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ORD_743636,CUST_085,Vegetarian Platter,14,5,70,8/7/2022,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ORD_117003,CUST_021,Brownie,6,2,12,12/9/2023,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ORD_726419,CUST_025,Salmon,18,5,90,10/30/2023,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ORD_754176,CUST_047,Salmon,18,1,18,4/11/2023,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ORD_330351,CUST_057,Sweet Potato Fries,5,4,20,8/18/2023,23,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ORD_458560,CUST_017,Mashed Potatoes,4,3,12,6/8/2022,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ORD_639569,CUST_024,Lemonade,3,2,6,8/28/2022,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ORD_736695,CUST_067,Grilled Chicken,15,3,45,5/1/2022,10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
ORD_283207,CUST_090,Side Salad,3,2,6,9/1/2023,21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ORD_337802,CUST_034,Pasta Alfredo,4,5,20,11/13/2022,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ORD_744179,CUST_009,Brownie,6,3,18,6/8/2023,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ORD_845047,CUST_052,Vegetarian Platter,14,4,56,2/21/2023,24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
ORD_862247,CUST_071,Side Salad,3,4,12,2/1/2023,21,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
ORD_356735,CUST_055,Salmon,18,4,72,5/9/2023,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ORD_333540,CUST_055,Orange Juice,3,4,12,9/14/2023,18,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
ORD_415215,CUST_094,Chocolate Cake,6,5,30,3/18/2023,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ORD_375110,CUST_041,Coca Cola,2.5,1,2.5,5/18/2023,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
